"Item","Value"
"Day10_confirmatory_external_validation","FAILED"
"Locked_external_AUC_range","0.185 to 0.275"
"Project_level_missing_candidate_genera","Genus__Campylobacter|Family__Campylobacteraceae | Genus__Atopobium|Family__Atopobiaceae"
"Complete_external_direction_reversal_genera","Genus__Bilophila|Family__Desulfovibrionaceae | Genus__Butyricimonas|Family__Marinifilaceae | Genus__Parabacteroides|Family__Tannerellaceae | Genus__Hoylesella|Family__Prevotellaceae | Genus__Campylobacter|Family__Campylobacteraceae | Genus__Atopobium|Family__Atopobiaceae"
"Partial_external_direction_reversal_genera","None"
"All_project_common_positive_genera","Genus__Bilophila|Family__Desulfovibrionaceae | Genus__Butyricimonas|Family__Marinifilaceae | Genus__Parabacteroides|Family__Tannerellaceae"
"All_project_common_negative_genera","Genus__Hoylesella|Family__Prevotellaceae"
"Best_posthoc_external_AUC","0.349"
"Best_posthoc_variant","CommonFeature_Rank_Balance"
"Can_posthoc_result_replace_failed_validation","No"
"Required_interpretation","Day10 remains a failed prespecified external validation. Day11 results are post-hoc diagnostics and hypothesis generation only."
